Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
Kingston Health Sciences Centre,East,Teaching,202501,LOS_HIGH_URGENCY,6.72,2470,93.7,8.0
St Michaels Hospital,TORONTO,Teaching,2026-06-01,LOS_ADMITTED,18.36,723,25.0,8.0
Unity Health - St. Michael's,Toronto,Teaching,2024-12-01,LOS_HIGH_URGENCY,9.3,1940,70.8,8.0
Royal Victoria Barrie,Central,Large Community,2024-11,LOS_LOW_URGENCY,5.86,2340,58.5,4.0
Lakeridge Oshawa,Central,Large Community,2026-06,WT_PHYS_ASSESS,-1.0,4745,95.0,2.0
NYGH,Toronto,Large Community,2024-09-01,LOS_HIGH_URGENCY,6.98,1825,90.9,8.0
Sudbury Regional Hospital,North,Teaching,202603,WT_PHYS_ASSESS,2.18,4464,74.7,2.0
St Catharines General,West,Large Community,7/2024,LOS_HIGH_URGENCY,6.19,1693,95.0,8.0
Health Sciences North,North,Teaching,12/2024,LOS_ADMITTED,15.64,1054,29.3,8.0
Unity Health - St. Michael's,Toronto,Teaching,2024-07-01,WT_PHYS_ASSESS,2.0,4488,80.5,2.0
HSN Sudbury,North,Teaching,202408,WT_PHYS_ASSESS,2.3,3371,75.6,2.0
Lakeridge Oshawa,Central,Large Community,9/2025,LOS_ADMITTED,15.7,853,31.5,8.0
TBRHSC,North,Teaching,2025-09-01,LOS_LOW_URGENCY,4.97,2334,73.5,4.0
Thunder Bay Regional,North,Teaching,2026-06,LOS_LOW_URGENCY,4.75,2746,70.7,4.0
Mississauga Hospital,Central,Large Community,8/2025,LOS_LOW_URGENCY,5.62,3229,59.9,4.0
Sudbury Regional Hospital,North,Teaching,2024-10,LOS_HIGH_URGENCY,8.33,1803,83.6,8.0
Toronto General Hospital,Toronto,Teaching,2025-01,LOS_LOW_URGENCY,7.29,3330,41.4,4.0
Niagara Health - St. Catharines,West,Large Community,202607,LOS_ADMITTED,12.35,784,52.6,8.0
William Osler Health System - Brampton Civic,Central,Large Community,2026-03,LOS_ADMITTED,16.5,1013,28.2,8.0
PRHC,East,Large Community,2025-07-01,LOS_HIGH_URGENCY,5.83,1820,95.0,8.0
HSN Sudbury,North,Teaching,202510,los_high_urgency,7.83,1627,83.1,8.0
Royal Victoria Barrie,Central,Large Community,2025-06,LOS_LOW_URGENCY,4.79,2319,73.9,4.0
Mississauga Hospital,CENTRAL,Large Community,202606,WT_PHYS_ASSESS,2.14,4600,77.0,2.0
Scarborough General,Toronto,Large Community,202603,LOS_HIGH_URGENCY,6.68,1782,95.0,8.0
Markham Stouffville Hospital,Central,Large Community,2024-08,LOS_ADMITTED,15.71,1005,28.6,8.0
Oak Valley Health - Markham,Central,Large Community,2024-10,LOS_LOW_URGENCY,5.39,2989,65.5,4.0
Oak Valley Health - Markham,Central,Large Community,2025-05,LOS_HIGH_URGENCY,8.09,1880,85.3,8.0
North York General Hospital,Toronto,Large Community,8/2024,LOS_HIGH_URGENCY,5.84,1967,95.0,8.0
HSN Sudbury,North,Teaching,2025-06,WT_PHYS_ASSESS,2.16,3933,76.1,2.0
LHSC Victoria,West,Teaching,2024-10-01,WT_PHYS_ASSESS,1.88,4042,87.1,2.0
LHSC Victoria,West,Teaching,10/2024,LOS_LOW_URGENCY,5.49,2450,61.1,4.0
Health Sciences North,North,Teaching,2025-10,LOS_ADMITTED,15.98,872,25.9%,8.0
Hamilton General,West,Teaching,202509,WT_PHYS_ASSESS,2.29,3934,72.9,2.0
Hamilton General,West,Teaching,2025-07,LOS_LOW_URGENCY,4.67,2165,73.3,4.0
Kingston General Hospital,East,Teaching,2025-06-01,LOS_LOW_URGENCY,4.61,3112,,4.0
RVH Barrie,Central,Large Community,2024-07-01,LOS_LOW_URGENCY,4.23,2190,84.2,4.0
London Health Sciences Centre - Victoria,West,Teaching,9/2024,LOS_HIGH_URGENCY,7.18,2108,90.0,8.0
SHN General,Toronto,Large Community,2024-07-01,LOS_HIGH_URGENCY,7.44,1972,89.2,8.0
WRH Ouellette,West,Large Community,8/2024,WT_PHYS_ASSESS,1.97,4335,82.9,2.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-10,LOS_HIGH_URGENCY,6.09,1557,,8.0
Windsor Ouellette Campus,West,Large Community,202408,LOS_HIGH_URGENCY,5.87,2176,94.4,8.0
Sudbury Regional Hospital,North,Teaching,202504,LOS_ADMITTED,13.78,930,41.8,8.0
TBRHSC,North,Teaching,10/2024,WT_PHYS_ASSESS,2.43,3650,,2.0
Markham Stouffville,Central,Large Community,9/2024,LOS_HIGH_URGENCY,6.51,1892,92.3,8.0
Hamilton Health Sciences - General,West,Teaching,8/2024,WT_PHYS_ASSESS,1.79,3552,85.9,2.0
SUNNYBROOK,Toronto,Teaching,2025-06,LOS_LOW_URGENCY,5.17,3104,65.8,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,2026-07-01,LOS_HIGH_URGENCY,5.59,2133,95.0,8.0
HHS General Site,West,Teaching,2025-02-01,LOS_HIGH_URGENCY,8.68,2292,82.2,8.0
Ottawa Hospital - Civic Campus,East,Teaching,1/2026,WT_PHYS_ASSESS,2.4,3780,74.5,2.0
NYGH,Toronto,Large Community,2025-10-01,LOS_HIGH_URGENCY,6.49,1668,93.3,8.0
Kingston General Hospital,East,Teaching,6/2025,LOS_HIGH_URGENCY,6.08,2031,95.0,8.0
Grand River Hospital,West,Large Community,2025-11,LOS_HIGH_URGENCY,6.9,1689,88.1,8.0
Sudbury Regional Hospital,North,Teaching,2024-07-01,LOS_HIGH_URGENCY,7.29,,87.8,8.0
London Health Sciences Centre - Victoria,West,Teaching,4/2026,LOS_ADMITTED,13.78,1063,46.5,8.0
Brampton Civic Hospital,Central,Large Community,2025-01-01,LOS_HIGH_URGENCY,8.49,1888,81.6,8.0
KHSC,East,Teaching,2024-09-01,LOS_HIGH_URGENCY,8.17,2097,82.9,8.0
TOH Civic,East,Teaching,202603,WT_PHYS_ASSESS,2.39,4465,75.1,2.0
North York General Hospital,Toronto,Large Community,202606,WT_PHYS_ASSESS,2.39,4410,69.0,2.0
Grand River Hosp,West,Large Community,2025-09-01,WT_PHYS_ASSESS,2.12,4520,82.4,2.0
HHS General Site,West,Teaching,12/2025,LOS_LOW_URGENCY,5.76,3535,63.0,4.0
WRH Ouellette,West,Large Community,2025-11-01,LOS_HIGH_URGENCY,6.83,2030,91.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2026-04,WT_PHYS_ASSESS,2.79,4653,65.3,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,202605,WT_PHYS_ASSESS,2.09,3446,83.2,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2026-05-01,LOS_ADMITTED,16.86,954,25.0,8.0
LHSC Victoria,West,Teaching,6/2025,LOS_LOW_URGENCY,4.83,3263,75.1,4.0
UHN - Toronto General,Toronto,Teaching,2/2025,WT_PHYS_ASSESS,2.69,4409,63.7,2.0
WRH Ouellette,West,Large Community,12/2024,WT_PHYS_ASSESS,2.25,4984,77.2,2.0
Lakeridge Oshawa,Central,Large Community,1/2025,WT_PHYS_ASSESS,2.13,5003,78.1,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,9/2025,WT_PHYS_ASSESS,1.91,3455,85.1,2.0
Peterborough Regional,EAST,Large Community,2025-01,WT_PHYS_ASSESS,2.29,4406,76.5,2.0
Health Sciences North,North,Teaching,2025-11-01,LOS_HIGH_URGENCY,7.68,2340,82.9,8.0
SHN General,Toronto,Large Community,2024-12,LOS_ADMITTED,16.25,853,25.0,8.0
HHS General Site,West,Teaching,11/2025,LOS_ADMITTED,15.68,778,32.4,8.0
Osler Brampton Civic,Central,Large Community,202607,LOS_LOW_URGENCY,4.52,2999,74.1,4.0
RVH Barrie,Central,Large Community,202408,LOS_HIGH_URGENCY,6.38,2233,94.7,8.0
Grand River Hospital,West,Large Community,202603,LOS_HIGH_URGENCY,7.33,2252,86.5,8.0
GRH Kitchener,West,Large Community,2025-12-01,WT_PHYS_ASSESS,2.05,5499,79.1,2.0
Lakeridge Oshawa,Central,Large Community,11/2025,WT_PHYS_ASSESS,2.32,4615,76.1%,2.0
THP Mississauga,Central,Large Community,2025-02,WT_PHYS_ASSESS,2.13,4184,79.8,2.0
Scarborough General,Toronto,Large Community,8/2025,LOS_LOW_URGENCY,5.11,2593,69.8,4.0
TOH Civic,East,Teaching,202510,LOS_HIGH_URGENCY,8.16,1647,82.6,8.0
TORONTO GENERAL,Toronto,Teaching,2024-12,LOS_ADMITTED,17.09,934,25.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,9/2024,WT_PHYS_ASSESS,1.82,4386,86.9,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-07-01,LOS_LOW_URGENCY,4.11,3276,80.9,4.0
North York General Hospital,Toronto,Large Community,2026-01,LOS_LOW_URGENCY,5.97,3511,53.0%,4.0
HHS General Site,West,Teaching,2026-06-01,LOS_LOW_URGENCY,4.49,2796,74.7,4.0
HHS General Site,West,Teaching,202504,LOS_HIGH_URGENCY,8.32,1998,78.4,8.0
Hamilton General,West,Teaching,7/2026,LOS_LOW_URGENCY,5.86,2776,54.1%,4.0
Ottawa Hospital - Civic Campus,East,Teaching,10/2024,LOS_LOW_URGENCY,6.03,2610,57.4,4.0
GRH Kitchener,West,Large Community,2026-03-01,LOS_ADMITTED,15.55,1120,,8.0
Peterborough Regional Health Centre,East,Large Community,1/2026,LOS_LOW_URGENCY,6.31,3353,47.7,4.0
Osler Brampton Civic,Central,Large Community,202502,LOS_ADMITTED,18.48,1002,25.0,8.0
TORONTO GENERAL,Toronto,Teaching,10/2024,WT_PHYS_ASSESS,2.79,4787,61.2,2.0
Scarborough Health Network - General,Toronto,Large Community,202510,LOS_HIGH_URGENCY,6.36,1552,92.7,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-05,LOS_LOW_URGENCY,4.7,2894,74.1,4.0
Unity Health - St. Michael's,Toronto,Teaching,7/2025,LOS_ADMITTED,15.51,808,35.6,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-03,LOS_LOW_URGENCY,,2819,74.7,4.0
PRHC,East,Large Community,202508,WT_PHYS_ASSESS,1.77,4835,90.0,2.0
Peterborough Regional,East,Large Community,202601,LOS_ADMITTED,,1020,39.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,202507,LOS_HIGH_URGENCY,5.73,1486,95.0,8.0
RVH Barrie,Central,Large Community,2024-08,WT_PHYS_ASSESS,2.24,,76.3,2.0
Scarborough Health Network - General,Toronto,Large Community,10/2025,LOS_ADMITTED,16.03,1114,31.9,8.0
Markham Stouffville,Central,Large Community,11/2025,LOS_ADMITTED,14.45,1089,40.7,8.0
Scarborough General,Toronto,Large Community,2025-01,LOS_LOW_URGENCY,5.24,3646,64.6,4.0
Hamilton Health Sciences - General,West,Teaching,2024-12-01,WT_PHYS_ASSESS,2.88,5058,62.5,2.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,202501,WT_PHYS_ASSESS,2.73,5719,63.0,2.0
NYGH,Toronto,Large Community,202605,WT_PHYS_ASSESS,1.99,3546,84.4,2.0
WRH Ouellette,West,Large Community,202606,LOS_ADMITTED,15.36,834,33.3,8.0
Scarborough Health Network - General,TORONTO,Large Community,2025-11-01,LOS_LOW_URGENCY,4.94,2905,67.4,4.0
THP Mississauga,Central,Large Community,2025-01,LOS_HIGH_URGENCY,7.8,1851,83.8,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,2024-12-01,LOS_ADMITTED,15.89,1066,32.1,8.0
Scarborough Health Network - General,Toronto,Large Community,2024-09-01,LOS_ADMITTED,-1.0,880,95.0,8.0
North York General Hospital,Toronto,Large Community,4/2025,WT_PHYS_ASSESS,2.61,4794,68.5,2.0
St Michaels Hospital,Toronto,Teaching,5/2025,LOS_LOW_URGENCY,5.13,2255,67.0,4.0
Health Sciences North,North,Teaching,3/2025,WT_PHYS_ASSESS,2.46,4037,69.8,2.0
SUNNYBROOK,Toronto,Teaching,1/2026,LOS_LOW_URGENCY,6.27,3362,54.1,4.0
LHSC Victoria,West,Teaching,2025-10-01,WT_PHYS_ASSESS,2.05,5017,81.6,2.0
North York General Hospital,Toronto,Large Community,5/2025,LOS_ADMITTED,16.05,818,28.7,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202412,LOS_ADMITTED,17.63,950,25.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-09-01,LOS_HIGH_URGENCY,,1522,95.0,8.0
PRHC,East,Large Community,2024-09-01,LOS_HIGH_URGENCY,7.28,2039,88.6,8.0
SUNNYBROOK,Toronto,Teaching,8/2025,WT_PHYS_ASSESS,2.47,3438,73.9,2.0
Oak Valley Health - Markham,Central,Large Community,2025-01,LOS_LOW_URGENCY,6.12,2595,51.1,4.0
St Catharines General,West,Large Community,2026-07-01,LOS_LOW_URGENCY,4.6,2817,75.6,4.0
London Victoria Hospital,West,Teaching,9/2025,LOS_HIGH_URGENCY,7.21,1845,85.3,8.0
KHSC,East,Teaching,2025-10,LOS_ADMITTED,17.14,787,25.0,8.0
Toronto General Hosp.,Toronto,Teaching,10/2025,LOS_LOW_URGENCY,5.06,2442,71.5,4.0
Grand River Hosp,West,Large Community,2026-03,WT_PHYS_ASSESS,2.1,4070,82.8,2.0
Brampton Civic Hospital,Central,Large Community,2026-01,LOS_ADMITTED,16.41,1070,25.0,8.0
St. Michael's Hospital,Toronto,Teaching,2025-07,LOS_HIGH_URGENCY,8.4,1706,83.5,8.0
Kingston Health Sciences Centre,East,Teaching,2025-12-01,LOS_ADMITTED,14.69,1029,34.5,8.0
Osler Brampton Civic,Central,Large Community,2026-02-01,LOS_ADMITTED,18.09,1081,25.0,8.0
The Ottawa Hospital Civic,East,Teaching,2024-12,LOS_LOW_URGENCY,4.94,3629,69.8,4.0
Health Sciences North,North,Teaching,202604,LOS_LOW_URGENCY,5.54,2673,59.3,4.0
Grand River Hosp,West,Large Community,10/2024,LOS_HIGH_URGENCY,7.43,2348,87.6,8.0
Sudbury Regional Hospital,North,Teaching,2026-04-01,LOS_ADMITTED,16.11,927,31.3,8.0
HHS General Site,West,Teaching,2025-09-01,LOS_LOW_URGENCY,4.56,2877,74.1,4.0
Brampton Civic Hospital,Central,Large Community,2025-04,LOS_HIGH_URGENCY,7.29,1691,85.1,8.0
Lakeridge Health - Oshawa,Central,Large Community,2024-09-01,WT_PHYS_ASSESS,2.13,3533,79.0,2.0
Niagara Health SCS,West,Large Community,2025-10,LOS_ADMITTED,12.4,739,52.2,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-02,LOS_HIGH_URGENCY,7.06,1954,93.6,8.0
TORONTO GENERAL,Toronto,Teaching,202506,LOS_LOW_URGENCY,5.96,2218,59.3,4.0
PRHC,East,Large Community,2024-07,LOS_LOW_URGENCY,4.66,2239,77.7,4.0
London Victoria Hospital,West,Teaching,11/2024,LOS_LOW_URGENCY,5.81,3194,59.3,4.0
LHSC Victoria,West,Teaching,8/2025,LOS_HIGH_URGENCY,,1582,95.0,8.0
Markham Stouffville Hospital,Central,Large Community,202412,WT_PHYS_ASSESS,-1.0,5345,95.0,2.0
Unity Health - St. Michael's,Toronto,Teaching,6/2025,LOS_LOW_URGENCY,6.13,3079,56.5,4.0
Peterborough Regional Health Centre,East,Large Community,7/2024,LOS_HIGH_URGENCY,5.4,1827,95.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,7/2025,LOS_LOW_URGENCY,4.9,3134,72.7,4.0
Lakeridge Health - Oshawa,Central,Large Community,202407,LOS_ADMITTED,12.92,733,,8.0
Markham Stouffville Hospital,Central,Large Community,2026-07-01,LOS_ADMITTED,14.25,837,44.3,8.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-07-01,LOS_ADMITTED,15.14,1020,31.4,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2024-12,WT_PHYS_ASSESS,2.76,3872,61.5,2.0
HHS General Site,West,Teaching,2025-12-01,LOS_HIGH_URGENCY,7.52,1755,83.5,8.0
Royal Victoria Barrie,Central,Large Community,1/2026,LOS_HIGH_URGENCY,9.03,1728,72.9,8.0
Unity Health - St. Michael's,Toronto,Teaching,2/2026,LOS_ADMITTED,19.17,1142,25.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-06-01,WT_PHYS_ASSESS,2.39,3861,73.5%,2.0
Mississauga Hospital,Central,Large Community,2026-03-01,LOS_HIGH_URGENCY,7.94,2318,83.1%,8.0
Grand River Hospital,West,Large Community,202505,LOS_HIGH_URGENCY,6.51,2108,92.8,8.0
Thunder Bay Regional,North,Teaching,2024-07,LOS_ADMITTED,12.75,986,54.3,8.0
Peterborough Regional Health Centre,East,Large Community,2026-07-01,WT_PHYS_ASSESS,2.13,3881,,2.0
KHSC,East,Teaching,11/2025,WT_PHYS_ASSESS,1.89,3764,82.7,2.0
Osler Brampton Civic,Central,Large Community,2025-05-01,LOS_HIGH_URGENCY,6.52,2071,95.0,8.0
Oshawa General,Central,Large Community,10/2024,LOS_ADMITTED,17.63,1032,25.0,8.0
THP Mississauga,CENTRAL,Large Community,2025-08-01,LOS_HIGH_URGENCY,6.16,2155,95.0,8.0
Hamilton General,West,Teaching,202510,LOS_ADMITTED,13.09,723,48.1,8.0
Hamilton General,West,Teaching,2024-09-01,LOS_LOW_URGENCY,4.97,3002,70.4,4.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-11,WT_PHYS_ASSESS,1.83,4101,90.8,2.0
Ottawa Hospital - Civic Campus,East,Teaching,12/2024,LOS_ADMITTED,15.97,1226,29.0,8.0
KHSC,East,Teaching,2024-09-01,WT_PHYS_ASSESS,2.33,3923,73.5,2.0
RVH Barrie,Central,Large Community,202603,WT_PHYS_ASSESS,2.36,3545,69.6,2.0
Toronto General Hosp.,Toronto,Teaching,2025-09,WT_PHYS_ASSESS,2.09,3813,79.4,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-02-01,LOS_ADMITTED,18.68,1198,25.0,8.0
PRHC,East,Large Community,5/2025,LOS_LOW_URGENCY,4.87,3285,73.2,4.0
Ottawa Hospital - Civic Campus,East,Teaching,2024-11,LOS_LOW_URGENCY,4.93,2542,72.1,4.0
Trillium Health Partners - Mississauga,Central,Large Community,2/2026,WT_PHYS_ASSESS,2.38,4895,76.3,2.0
Sudbury Regional Hospital,North,Teaching,2026-05-01,LOS_LOW_URGENCY,6.28,2594,48.7,4.0
KHSC,East,Teaching,202501,LOS_ADMITTED,16.73,1198,25.8,8.0
LHSC Victoria,West,Teaching,2025-12,WT_PHYS_ASSESS,2.57,4523,71.0,2.0
Niagara Health - St. Catharines,West,Large Community,202605,LOS_ADMITTED,14.93,841,33.0,8.0
Health Sciences North,North,Teaching,2026-03,LOS_HIGH_URGENCY,7.06,1658,,8.0
St Michaels Hospital,Toronto,Teaching,2025-07-01,LOS_LOW_URGENCY,4.94,2173,66.6,4.0
Osler Brampton Civic,Central,Large Community,10/2024,LOS_HIGH_URGENCY,7.21,1971,90.2,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-04,LOS_HIGH_URGENCY,6.11,1967,94.1,8.0
Kingston Health Sciences Centre,EAST,Teaching,2025-10,LOS_LOW_URGENCY,4.4,3039,77.1,4.0
NYGH,Toronto,Large Community,2025-08-01,LOS_LOW_URGENCY,5.85,3213,58.2,4.0
Toronto General Hosp.,Toronto,Teaching,2024-08,LOS_HIGH_URGENCY,8.58,1904,76.7,8.0
Sudbury Regional Hospital,North,Teaching,2024-11-01,LOS_LOW_URGENCY,5.6,2425,63.4,4.0
TORONTO GENERAL,Toronto,Teaching,9/2024,LOS_HIGH_URGENCY,8.62,,79.1,8.0
UHN - Toronto General,Toronto,Teaching,2025-08-01,WT_PHYS_ASSESS,2.58,3723,65.8,2.0
Markham Stouffville,Central,Large Community,202508,LOS_HIGH_URGENCY,6.24,2112,95.0,8.0
HSN Sudbury,North,Teaching,202408,LOS_HIGH_URGENCY,7.92,2200,86.9,8.0
Windsor Ouellette Campus,West,Large Community,2024-11-01,LOS_ADMITTED,16.62,953,27.5,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-08-01,LOS_ADMITTED,-1.0,776,95.0,8.0
TBRHSC,North,Teaching,8/2025,WT_PHYS_ASSESS,1.92,4310,84.6%,2.0
Oshawa General,Central,Large Community,2025-07-01,LOS_HIGH_URGENCY,6.75,2036,93.6,8.0
Markham Stouffville Hospital,Central,Large Community,2026-07-01,LOS_HIGH_URGENCY,7.6,2071,88.9,8.0
RVH Barrie,Central,Large Community,2025-07,LOS_ADMITTED,13.0,911,46.5,8.0
KHSC,East,Teaching,202409,LOS_LOW_URGENCY,5.66,2725,,4.0
The Ottawa Hospital Civic,East,Teaching,2025-08-01,LOS_HIGH_URGENCY,7.0,2251,,8.0
Peterborough Regional Health Centre,East,Large Community,7/2026,LOS_ADMITTED,14.29,778,43.8,8.0
KHSC,East,Teaching,2025-09,LOS_HIGH_URGENCY,7.52,2161,83.1,8.0
Osler Brampton Civic,Central,Large Community,3/2025,LOS_LOW_URGENCY,4.43,2953,74.3,4.0
Peterborough Regional,East,Large Community,2025-12,LOS_HIGH_URGENCY,7.48,2216,85.7,8.0
NYGH,Toronto,Large Community,2024-09-01,LOS_LOW_URGENCY,5.89,2289,54.1,4.0
WRH Ouellette,West,Large Community,202502,LOS_HIGH_URGENCY,6.71,2215,88.7,8.0
PRHC,East,Large Community,2026-05-01,WT_PHYS_ASSESS,2.09,4359,81.4,2.0
Markham Stouffville,Central,Large Community,2025-03-01,LOS_HIGH_URGENCY,7.46,2144,85.9,8.0
Royal Victoria Regional Health Centre,Central,Large Community,1/2025,WT_PHYS_ASSESS,2.54,4308,67.1,2.0
SUNNYBROOK,Toronto,Teaching,5/2025,WT_PHYS_ASSESS,2.45,4302,70.8,2.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-11-01,LOS_ADMITTED,15.52,902,33.1,8.0
Grand River Hospital,West,Large Community,11/2025,WT_PHYS_ASSESS,1.94,3907,88.5,2.0
Health Sciences North,North,Teaching,202509,LOS_HIGH_URGENCY,8.34,1621,80.6,8.0
Mississauga Hospital,Central,Large Community,2026-07-01,WT_PHYS_ASSESS,2.04,3231,81.8,2.0
HHS General Site,West,Teaching,2025-06,LOS_LOW_URGENCY,5.21,2517,63.4,4.0
Sudbury Regional Hospital,North,Teaching,2026-01,WT_PHYS_ASSESS,2.42,4927,71.7,2.0
Markham Stouffville,Central,Large Community,2026-04,LOS_HIGH_URGENCY,6.85,1754,92.1,8.0
Grand River Hosp,WEST,Large Community,2025-12-01,LOS_LOW_URGENCY,5.2,3407,64.0,4.0
Hamilton General,West,Teaching,8/2025,LOS_LOW_URGENCY,5.18,2168,67.1,4.0
The Ottawa Hospital Civic,East,Teaching,2025-02-01,LOS_LOW_URGENCY,6.11,2899,54.2,4.0
WRH Ouellette,West,Large Community,202601,LOS_HIGH_URGENCY,8.04,2631,82.6,8.0
Oshawa General,Central,Large Community,3/2025,LOS_HIGH_URGENCY,6.05,1526,94.3,8.0
North York General,Toronto,Large Community,202505,LOS_LOW_URGENCY,6.24,2386,53.2,4.0
Scarborough Health Network - General,Toronto,Large Community,2/2025,LOS_LOW_URGENCY,6.78,2866,43.4,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202502,LOS_LOW_URGENCY,5.12,3640,64.6,4.0
Sudbury Regional Hospital,NORTH,Teaching,2025-02-01,LOS_LOW_URGENCY,6.17,2923,52.9,4.0
Sunnybrook HSC,Toronto,Teaching,2024-07,WT_PHYS_ASSESS,2.05,4893,84.8,2.0
Thunder Bay Regional,North,Teaching,2025-08,LOS_HIGH_URGENCY,6.56,1553,91.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,9/2025,LOS_ADMITTED,18.61,724,25.0,8.0
Sudbury Regional Hospital,North,Teaching,2024-12-01,WT_PHYS_ASSESS,2.24,4261,78.2,2.0
Peterborough Regional Health Centre,East,Large Community,2025-09-01,LOS_HIGH_URGENCY,6.11,2154,95.0%,8.0
Thunder Bay Regional,North,Teaching,2026-04,WT_PHYS_ASSESS,2.16,3562,80.4,2.0
North York General,Toronto,Large Community,2025-10-01,LOS_ADMITTED,13.73,1008,,8.0
Trillium Health Partners - Mississauga,Central,Large Community,202507,WT_PHYS_ASSESS,2.06,4496,,2.0
TORONTO GENERAL,Toronto,Teaching,2025-08-01,LOS_HIGH_URGENCY,6.43,1955,91.0,8.0
Trillium Health Partners - Mississauga,Central,Large Community,10/2025,LOS_LOW_URGENCY,4.31,3287,81.3,4.0
Thunder Bay Regional,North,Teaching,202602,LOS_LOW_URGENCY,6.45,3568,49.4,4.0
William Osler Health System - Brampton Civic,Central,Large Community,2024-08,LOS_ADMITTED,13.45,1007,,8.0
Trillium Health Partners - Mississauga,Central,Large Community,202407,LOS_LOW_URGENCY,4.81,2705,,4.0
Sunnybrook HSC,Toronto,Teaching,2025-06,WT_PHYS_ASSESS,2.04,4795,86.4,2.0
Niagara Health SCS,West,Large Community,202508,LOS_ADMITTED,11.61,1012,62.1,8.0
Niagara Health - St. Catharines,West,Large Community,10/2024,WT_PHYS_ASSESS,1.88,4695,83.1,2.0
LHSC Victoria,West,Teaching,12/2024,LOS_LOW_URGENCY,5.66,3044,57.7,4.0
SUNNYBROOK,Toronto,Teaching,2025-11,LOS_LOW_URGENCY,6.63,2805,50.4,4.0
Peterborough Regional Health Centre,East,Large Community,9/2025,LOS_LOW_URGENCY,4.77,2489,,4.0
Hamilton General,West,Teaching,2025-10-01,LOS_HIGH_URGENCY,6.62,1604,90.9,8.0
Osler Brampton Civic,Central,Large Community,202501,LOS_ADMITTED,18.16,1209,25.0,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-06-01,LOS_ADMITTED,14.68,986,34.9%,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-07-01,LOS_ADMITTED,14.13,851,41.3,8.0
Niagara Health - St. Catharines,West,Large Community,2026-03-01,LOS_HIGH_URGENCY,7.6,1591,82.6,8.0
Kingston General Hospital,East,Teaching,2024-11-01,LOS_ADMITTED,17.09,880,25.0,8.0
Hamilton General,West,Teaching,2026-02,LOS_HIGH_URGENCY,-1.0,2168,95.0,8.0
Kingston Health Sciences Centre,East,Teaching,202605,LOS_LOW_URGENCY,5.63,3094,59.9,4.0
SUNNYBROOK,Toronto,Teaching,202411,LOS_LOW_URGENCY,4.86,2339,72.6,4.0
St Catharines General,West,Large Community,2024-12,LOS_LOW_URGENCY,6.01,3059,52.4,4.0
GRH Kitchener,West,Large Community,202606,LOS_HIGH_URGENCY,6.97,2049,93.9,8.0
TBRHSC,North,Teaching,2026-05-01,LOS_ADMITTED,17.11,830,25.0,8.0
Hamilton General,West,Teaching,2024-11,LOS_LOW_URGENCY,5.13,2623,71.3,4.0
Grand River Hospital,West,Large Community,2025-08-01,LOS_LOW_URGENCY,5.13,2503,,4.0
The Ottawa Hospital Civic,East,Teaching,2025-02-01,WT_PHYS_ASSESS,2.39,5067,75.3,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2026-06,LOS_LOW_URGENCY,5.1,2883,71.4,4.0
RVH Barrie,Central,Large Community,2025-09,LOS_LOW_URGENCY,5.61,2691,61.1%,4.0
Kingston Health Sciences Centre,East,Teaching,2026-06,LOS_HIGH_URGENCY,6.07,1537,95.0,8.0
Markham Stouffville Hospital,Central,Large Community,2025-02-01,LOS_ADMITTED,18.28,1034,25.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-04,LOS_HIGH_URGENCY,7.48,2163,84.7,8.0
Thunder Bay Regional,North,Teaching,2024-07,LOS_LOW_URGENCY,4.61,2749,77.8,4.0
